stock_name,stock_num,class
EMP88 就業88,EMP88,櫃指數類
GTCI 薪酬指數,GTCI,櫃指數類
GTHD 高殖利,GTHD,櫃指數類
GTSM50 富櫃50,GTSM50,櫃指數類
IR0118 富櫃200報酬指,IR0118,櫃指數類
IR0138 櫃Quality 50報酬指,IR0138,櫃指數類
IR0140 櫃半導體領航報酬指,IR0140,櫃指數類
IR0141 富櫃200報酬日正二,IR0141,櫃指數類
IR0148 櫃ESG成長報酬指,IR0148,櫃指數類
IR0149 櫃ESG電子菁英報酬指,IR0149,櫃指數類
IX0118 富櫃200指,IX0118,櫃指數類
IX0134 櫃永續指,IX0134,櫃指數類
IX0138 櫃Quality 50指,IX0138,櫃指數類
TPCGI 櫃治理,TPCGI,櫃指數類
TWTBI 公債指,TWTBI,櫃指數類
1258 其祥-KY,1258,櫃食品
1264 德麥,1264,櫃食品
1796 金穎生技,1796,櫃食品
4205 中華食,4205,櫃食品
4207 環泰,4207,櫃食品
4712 南璋,4712,櫃食品
4303 信立,4303,櫃塑膠
4304 勝昱,4304,櫃塑膠
4305 世坤,4305,櫃塑膠
9950 萬國通,9950,櫃塑膠
4401 東隆興,4401,櫃紡織
4402 福大,4402,櫃紡織
4406 新昕纖,4406,櫃紡織
4413 飛寶企業,4413,櫃紡織
4417 金洲,4417,櫃紡織
4419 元勝,4419,櫃紡織
4420 光明,4420,櫃紡織
4432 銘旺實,4432,櫃紡織
4433 興采,4433,櫃紡織
6506 雙邦,6506,櫃紡織
1570 力肯,1570,櫃電機
1580 新麥,1580,櫃電機
1586 和勤,1586,櫃電機
1591 駿吉-KY,1591,櫃電機
1599 宏佳騰,1599,櫃電機
2066 世德,2066,櫃電機
2067 嘉鋼,2067,櫃電機
2070 精湛,2070,櫃電機
2230 泰茂,2230,櫃電機
2235 謚源,2235,櫃電機
3162 精確,3162,櫃電機
3178 公準,3178,櫃電機
3226 至寶電,3226,櫃電機
3379 彬台,3379,櫃電機
3426 台興,3426,櫃電機
3685 元創精密,3685,櫃電機
4502 健信,4502,櫃電機
4503 金雨,4503,櫃電機
4506 崇友,4506,櫃電機
4510 高鋒,4510,櫃電機
4513 福裕,4513,櫃電機
4523 永彰,4523,櫃電機
4527 方土霖,4527,櫃電機
4528 江興鍛,4528,櫃電機
4530 宏易,4530,櫃電機
4533 協易機,4533,櫃電機
4534 慶騰,4534,櫃電機
4535 至興,4535,櫃電機
4538 大詠城,4538,櫃電機
4543 萬在,4543,櫃電機
4549 桓達,4549,櫃電機
4550 長佳,4550,櫃電機
4558 寶緯,4558,櫃電機
4561 健椿,4561,櫃電機
4563 百德,4563,櫃電機
4568 科際精密,4568,櫃電機
4580 捷流閥業,4580,櫃電機
4584 君帆,4584,櫃電機
6122 擎邦,6122,櫃電機
6425 易發,6425,櫃電機
6603 富強鑫,6603,櫃電機
6609 瀧澤科,6609,櫃電機
6829 千附精密,6829,櫃電機
6843 進典,6843,櫃電機
8027 鈦昇,8027,櫃電機
8083 瑞穎,8083,櫃電機
8107 大億金茂,8107,櫃電機
8255 朋程,8255,櫃電機
9951 皇田,9951,櫃電機
2061 風青,2061,櫃電器電纜
4609 唐鋒,4609,櫃電器電纜
1742 台蠟,1742,櫃化學
3430 奇鈦科,3430,櫃化學
4702 中美實,4702,櫃化學
4706 大恭,4706,櫃化學
4707 磐亞,4707,櫃化學
4711 永純,4711,櫃化學
4714 永捷,4714,櫃化學
4716 大立,4716,櫃化學
4721 美琪瑪,4721,櫃化學
4741 泓瀚,4741,櫃化學
4754 國碳科,4754,櫃化學
4767 誠泰科技,4767,櫃化學
4768 晶呈科技,4768,櫃化學
6509 聚和,6509,櫃化學
1565 精華,1565,櫃生技
1593 祺驊,1593,櫃生技
1777 生泰,1777,櫃生技
1781 合世,1781,櫃生技
1784 訊聯,1784,櫃生技
1788 杏昌,1788,櫃生技
1799 易威,1799,櫃生技
1813 寶利徠,1813,櫃生技
3118 進階,3118,櫃生技
3176 基亞,3176,櫃生技
3205 佰研,3205,櫃生技
3218 大學光,3218,櫃生技
4102 永日,4102,櫃生技
4105 東洋,4105,櫃生技
4107 邦特,4107,櫃生技
4109 加捷生醫,4109,櫃生技
4111 濟生,4111,櫃生技
4114 健喬,4114,櫃生技
4116 明基醫,4116,櫃生技
4120 友華,4120,櫃生技
4121 優盛,4121,櫃生技
4123 晟德,4123,櫃生技
4126 太醫,4126,櫃生技
4127 天良,4127,櫃生技
4128 中天,4128,櫃生技
4129 聯合,4129,櫃生技
4129A 聯合甲特,4129A,櫃生技
4130 健亞,4130,櫃生技
4131 晶宇,4131,櫃生技
4138 曜亞,4138,櫃生技
4139 馬光-KY,4139,櫃生技
4147 中裕,4147,櫃生技
4153 鈺緯,4153,櫃生技
4154 樂威科-KY,4154,櫃生技
4157 太景*-KY,4157,櫃生技
4160 創源,4160,櫃生技
4161 聿新科,4161,櫃生技
4162 智擎,4162,櫃生技
4163 鐿鈦,4163,櫃生技
4167 松瑞藥,4167,櫃生技
4168 醣聯,4168,櫃生技
4173 久裕,4173,櫃生技
4174 浩鼎,4174,櫃生技
4175 杏一,4175,櫃生技
4183 福永生技,4183,櫃生技
4188 安克,4188,櫃生技
4192 杏國,4192,櫃生技
4198 欣大健康,4198,櫃生技
4726 永昕,4726,櫃生技
4728 雙美,4728,櫃生技
4735 豪展,4735,櫃生技
4736 泰博,4736,櫃生技
4743 合一,4743,櫃生技
4744 皇將,4744,櫃生技
4745 合富-KY,4745,櫃生技
4747 強生,4747,櫃生技
4911 德英,4911,櫃生技
5312 寶島科,5312,櫃生技
6130 星寶國際,6130,櫃生技
6242 立康,6242,櫃生技
6446 藥華藥,6446,櫃生技
6461 益得,6461,櫃生技
6469 大樹,6469,櫃生技
6472 保瑞,6472,櫃生技
6492 生華科,6492,櫃生技
6496 科懋,6496,櫃生技
6499 益安,6499,櫃生技
6523 達爾膚,6523,櫃生技
6527 明達醫,6527,櫃生技
6535 順藥,6535,櫃生技
6547 高端疫苗,6547,櫃生技
6569 醫揚,6569,櫃生技
6574 霈方,6574,櫃生技
6576 逸達,6576,櫃生技
6589 台康生技,6589,櫃生技
6612 奈米醫材,6612,櫃生技
6615 慧智,6615,櫃生技
6649 台生材,6649,櫃生技
6661 威健生技,6661,櫃生技
6662 樂斯科,6662,櫃生技
6703 軒郁,6703,櫃生技
6712 長聖,6712,櫃生技
6733 博晟生醫,6733,櫃生技
6747 亨泰光,6747,櫃生技
6762 達亞,6762,櫃生技
6767 台微醫,6767,櫃生技
8279 生展,8279,櫃生技
8403 盛弘,8403,櫃生技
8409 商之器,8409,櫃生技
8432 東生華,8432,櫃生技
8436 大江,8436,櫃生技
2035 唐榮,2035,櫃鋼鐵
2063 世鎧,2063,櫃鋼鐵
2064 晉椿,2064,櫃鋼鐵
2065 世豐,2065,櫃鋼鐵
5009 榮剛,5009,櫃鋼鐵
5011 久陽,5011,櫃鋼鐵
5013 強新,5013,櫃鋼鐵
5014 建錩,5014,櫃鋼鐵
5015 華祺,5015,櫃鋼鐵
5016 松和,5016,櫃鋼鐵
6248 沛波,6248,櫃鋼鐵
8349 恒耀,8349,櫃鋼鐵
8349A 恒耀甲特,8349A,櫃鋼鐵
8415 大國鋼,8415,櫃鋼鐵
8930 青鋼,8930,櫃鋼鐵
9962 有益,9962,櫃鋼鐵
3073 天方能源,3073,櫃半導體
3105 穩懋,3105,櫃半導體
3122 笙泉,3122,櫃半導體
3141 晶宏,3141,櫃半導體
3169 亞信,3169,櫃半導體
3227 原相,3227,櫃半導體
3228 金麗科,3228,櫃半導體
3259 鑫創,3259,櫃半導體
3260 威剛,3260,櫃半導體
3264 欣銓,3264,櫃半導體
3265 台星科,3265,櫃半導體
3268 海德威,3268,櫃半導體
3317 尼克森,3317,櫃半導體
3372 典範,3372,櫃半導體
3374 精材,3374,櫃半導體
3438 類比科,3438,櫃半導體
3527 聚積,3527,櫃半導體
3529 力旺,3529,櫃半導體
3555 重鵬,3555,櫃半導體
3556 禾瑞亞,3556,櫃半導體
3567 逸昌,3567,櫃半導體
3581 博磊,3581,櫃半導體
3675 德微,3675,櫃半導體
3680 家登,3680,櫃半導體
3707 漢磊,3707,櫃半導體
4923 力士,4923,櫃半導體
4945 陞達科技,4945,櫃半導體
4951 精拓科,4951,櫃半導體
4966 譜瑞-KY,4966,櫃半導體
4971 IET-KY,4971,櫃半導體
4973 廣穎,4973,櫃半導體
4991 環宇-KY,4991,櫃半導體
5236 凌陽創新,5236,櫃半導體
5272 笙科,5272,櫃半導體
5274 信驊,5274,櫃半導體
5299 杰力,5299,櫃半導體
5302 太欣,5302,櫃半導體
5314 世紀,5314,櫃半導體
5344 立衛,5344,櫃半導體
5347 世界,5347,櫃半導體
5351 鈺創,5351,櫃半導體
5425 台半,5425,櫃半導體
5468 凱鈺,5468,櫃半導體
5483 中美晶,5483,櫃半導體
5487 通泰,5487,櫃半導體
6103 合邦,6103,櫃半導體
6104 創惟,6104,櫃半導體
6129 普誠,6129,櫃半導體
6138 茂達,6138,櫃半導體
6147 頎邦,6147,櫃半導體
6182 合晶,6182,櫃半導體
6198 瑞築,6198,櫃半導體
6223 旺矽,6223,櫃半導體
6229 研通,6229,櫃半導體
6233 旺玖,6233,櫃半導體
6237 驊訊,6237,櫃半導體
6261 久元,6261,櫃半導體
6287 元隆,6287,櫃半導體
6291 沛亨,6291,櫃半導體
6411 晶焱,6411,櫃半導體
6435 大中,6435,櫃半導體
6457 紘康,6457,櫃半導體
6462 神盾,6462,櫃半導體
6485 點序,6485,櫃半導體
6488 環球晶,6488,櫃半導體
6494 九齊,6494,櫃半導體
6510 精測,6510,櫃半導體
6532 瑞耘,6532,櫃半導體
6548 長科*,6548,櫃半導體
6568 宏觀,6568,櫃半導體
6640 均華,6640,櫃半導體
6643 M31,6643,櫃半導體
6651 全宇昕,6651,櫃半導體
6679 鈺太,6679,櫃半導體
6683 雍智科技,6683,櫃半導體
6684 安格,6684,櫃半導體
6693 廣閎科,6693,櫃半導體
6716 應廣,6716,櫃半導體
6732 昇佳電子,6732,櫃半導體
6788 華景電,6788,櫃半導體
6823 濾能,6823,櫃半導體
7556 意德士,7556,櫃半導體
8024 佑華,8024,櫃半導體
8040 九暘,8040,櫃半導體
8054 安國,8054,櫃半導體
8086 宏捷科,8086,櫃半導體
8088 品安,8088,櫃半導體
8277 商丞,8277,櫃半導體
8299 群聯,8299,櫃半導體
1569 濱川,1569,櫃電腦週邊
3071 協禧,3071,櫃電腦週邊
3088 艾訊,3088,櫃電腦週邊
3211 順達,3211,櫃電腦週邊
3213 茂訊,3213,櫃電腦週邊
3272 東碩,3272,櫃電腦週邊
3287 廣寰科,3287,櫃電腦週邊
3323 加百裕,3323,櫃電腦週邊
3325 旭品,3325,櫃電腦週邊
3349 寶德,3349,櫃電腦週邊
3479 安勤,3479,櫃電腦週邊
3483 力致,3483,櫃電腦週邊
3521 鴻翊,3521,櫃電腦週邊
3540 曜越,3540,櫃電腦週邊
3577 泓格,3577,櫃電腦週邊
3594 磐儀,3594,櫃電腦週邊
3611 鼎翰,3611,櫃電腦週邊
3625 西勝,3625,櫃電腦週邊
3693 營邦,3693,櫃電腦週邊
3709 鑫聯大投控,3709,櫃電腦週邊
4924 欣厚-KY,4924,櫃電腦週邊
4931 新盛力,4931,櫃電腦週邊
4987 科誠,4987,櫃電腦週邊
5289 宜鼎,5289,櫃電腦週邊
5356 協益,5356,櫃電腦週邊
5386 青雲,5386,櫃電腦週邊
5426 振發,5426,櫃電腦週邊
5438 東友,5438,櫃電腦週邊
5465 富驊,5465,櫃電腦週邊
5474 聰泰,5474,櫃電腦週邊
5490 同亨,5490,櫃電腦週邊
6121 新普,6121,櫃電腦週邊
6123 上奇,6123,櫃電腦週邊
6150 撼訊,6150,櫃電腦週邊
6160 欣技,6160,櫃電腦週邊
6161 捷波,6161,櫃電腦週邊
6188 廣明,6188,櫃電腦週邊
6228 全譜,6228,櫃電腦週邊
6276 安鈦克,6276,櫃電腦週邊
6441 廣錠,6441,櫃電腦週邊
6570 維田,6570,櫃電腦週邊
6577 勁豐,6577,櫃電腦週邊
6594 展匯科,6594,櫃電腦週邊
6680 鑫創電子,6680,櫃電腦週邊
8050 廣積,8050,櫃電腦週邊
8076 伍豐,8076,櫃電腦週邊
8234 新漢,8234,櫃電腦週邊
8410 森田,8410,櫃電腦週邊
3066 李洲,3066,櫃光電
3128 昇銳,3128,櫃光電
3230 錦明,3230,櫃光電
3297 杭特,3297,櫃光電
3339 泰谷,3339,櫃光電
3362 先進光,3362,櫃光電
3434 哲固,3434,櫃光電
3441 聯一光,3441,櫃光電
3455 由田,3455,櫃光電
3490 單井,3490,櫃光電
3516 亞帝歐,3516,櫃光電
3523 迎輝,3523,櫃光電
3531 先益,3531,櫃光電
3615 安可,3615,櫃光電
3623 富晶通,3623,櫃光電
3630 新鉅科,3630,櫃光電
3666 光耀,3666,櫃光電
3691 碩禾,3691,櫃光電
3713 新晶投控,3713,櫃光電
4729 熒茂,4729,櫃光電
4933 友輝,4933,櫃光電
4944 兆遠,4944,櫃光電
4972 湯石照明,4972,櫃光電
4995 晶達,4995,櫃光電
5220 萬達光電,5220,櫃光電
5230 雷笛克光學,5230,櫃光電
5245 智晶,5245,櫃光電
5251 天鉞電,5251,櫃光電
5281 大峽谷-KY,5281,櫃光電
5315 光聯,5315,櫃光電
5371 中光電,5371,櫃光電
5392 能率,5392,櫃光電
5432 新門,5432,櫃光電
5443 均豪,5443,櫃光電
6125 廣運,6125,櫃光電
6167 久正,6167,櫃光電
6222 上揚,6222,櫃光電
6234 高僑,6234,櫃光電
6244 茂迪,6244,櫃光電
6246 臺龍,6246,櫃光電
6419 京晨科,6419,櫃光電
6556 勝品,6556,櫃光電
6560 欣普羅,6560,櫃光電
6859 伯特光,6859,櫃光電
7402 邑錡,7402,櫃光電
8049 晶采,8049,櫃光電
8064 東捷,8064,櫃光電
8069 元太,8069,櫃光電
8087 華鎂鑫,8087,櫃光電
8111 立碁,8111,櫃光電
8240 華宏,8240,櫃光電
3081 聯亞,3081,櫃通訊網路
3095 及成,3095,櫃通訊網路
3152 璟德,3152,櫃通訊網路
3163 波若威,3163,櫃通訊網路
3221 台嘉碩,3221,櫃通訊網路
3234 光環,3234,櫃通訊網路
3306 鼎天,3306,櫃通訊網路
3363 上詮,3363,櫃通訊網路
3466 致振,3466,櫃通訊網路
3491 昇達科,3491,櫃通訊網路
3499 環天科,3499,櫃通訊網路
3558 神準,3558,櫃通訊網路
3564 其陽,3564,櫃通訊網路
3632 研勤,3632,櫃通訊網路
3664 安瑞-KY,3664,櫃通訊網路
3672 康聯訊,3672,櫃通訊網路
3684 榮昌,3684,櫃通訊網路
4903 聯光通,4903,櫃通訊網路
4905 台聯電,4905,櫃通訊網路
4908 前鼎,4908,櫃通訊網路
4909 新復興,4909,櫃通訊網路
4979 華星光,4979,櫃通訊網路
5348 系通,5348,櫃通訊網路
5353 台林,5353,櫃通訊網路
6109 亞元,6109,櫃通訊網路
6143 振曜,6143,櫃通訊網路
6163 華電網,6163,櫃通訊網路
6170 統振,6170,櫃通訊網路
6190 萬泰科,6190,櫃通訊網路
6218 豪勉,6218,櫃通訊網路
6241 易通展,6241,櫃通訊網路
6245 立端,6245,櫃通訊網路
6263 普萊德,6263,櫃通訊網路
6417 韋僑,6417,櫃通訊網路
6465 威潤,6465,櫃通訊網路
6470 宇智,6470,櫃通訊網路
6486 互動,6486,櫃通訊網路
6514 芮特-KY,6514,櫃通訊網路
6530 創威,6530,櫃通訊網路
6546 正基,6546,櫃通訊網路
6561 是方,6561,櫃通訊網路
6588 東典光電,6588,櫃通訊網路
8034 榮群,8034,櫃通訊網路
8048 德勝,8048,櫃通訊網路
8059 凱碩,8059,櫃通訊網路
8089 康全電訊,8089,櫃通訊網路
8097 常珵,8097,櫃通訊網路
8171 天宇,8171,櫃通訊網路
8176 智捷,8176,櫃通訊網路
1336 台翰,1336,櫃電子零組件
1595 川寶,1595,櫃電子零組件
1815 富喬,1815,櫃電子零組件
3078 僑威,3078,櫃電子零組件
3089 億杰,3089,櫃電子零組件
3114 好德,3114,櫃電子零組件
3115 富榮綱,3115,櫃電子零組件
3191 和進,3191,櫃電子零組件
3202 樺晟,3202,櫃電子零組件
3206 志豐,3206,櫃電子零組件
3207 耀勝,3207,櫃電子零組件
3217 優群,3217,櫃電子零組件
3236 千如,3236,櫃電子零組件
3276 宇環,3276,櫃電子零組件
3288 點晶,3288,櫃電子零組件
3290 東浦,3290,櫃電子零組件
3294 英濟,3294,櫃電子零組件
3310 佳穎,3310,櫃電子零組件
3322 建舜電,3322,櫃電子零組件
3332 幸康,3332,櫃電子零組件
3354 律勝,3354,櫃電子零組件
3357 臺慶科,3357,櫃電子零組件
3388 崇越電,3388,櫃電子零組件
3390 旭軟,3390,櫃電子零組件
3465 進泰電子,3465,櫃電子零組件
3484 崧騰,3484,櫃電子零組件
3492 長盛,3492,櫃電子零組件
3511 矽瑪,3511,櫃電子零組件
3520 華盈,3520,櫃電子零組件
3526 凡甲,3526,櫃電子零組件
3537 堡達,3537,櫃電子零組件
3548 兆利,3548,櫃電子零組件
3597 映興,3597,櫃電子零組件
3609 三一東林,3609,櫃電子零組件
3624 光頡,3624,櫃電子零組件
3631 晟楠,3631,櫃電子零組件
3646 艾恩特,3646,櫃電子零組件
3689 湧德,3689,櫃電子零組件
3710 連展投控,3710,櫃電子零組件
4542 科嶠,4542,櫃電子零組件
4939 亞電,4939,櫃電子零組件
4974 亞泰,4974,櫃電子零組件
5223 安力-KY,5223,櫃電子零組件
5227 立凱-KY,5227,櫃電子零組件
5228 鈺鎧,5228,櫃電子零組件
