stock_num,stock_name,Date,Open,High,Low,Close,Volume
0050,0050 元大台灣50,2017-01-03,71.7,71.9,71.5,71.9,2331430.0
0051,0051 元大中型100,2017-01-03,25.5,25.6,25.43,25.6,7000.0
0052,0052 富邦科技,2017-01-03,0.0,0.0,0.0,0.0,0.0
0053,0053 元大電子,2017-01-03,29.41,29.5,29.41,29.5,19000.0
0055,0055 元大MSCI金融,2017-01-03,14.48,14.48,14.42,14.46,4200.0
0056,0056 元大高股息,2017-01-03,23.12,23.13,23.07,23.12,1141120.0
0057,0057 富邦摩台,2017-01-03,41.99,41.99,41.99,41.99,1000.0
0061,0061 元大寶滬深,2017-01-03,15.84,16.0,15.84,15.96,2383240.0
006203,006203 元大MSCI台灣,2017-01-03,32.98,32.98,32.98,32.98,1000.0
006204,006204 永豐臺灣加權,2017-01-03,0.0,0.0,0.0,0.0,0.0
006205,006205 富邦上証,2017-01-03,27.05,27.33,27.04,27.25,3509010.0
006206,006206 元大上證50,2017-01-03,26.05,26.44,26.05,26.34,2052010.0
006207,006207 FH滬深,2017-01-03,20.13,20.42,20.13,20.31,1663000.0
006208,006208 富邦台50,2017-01-03,40.7,40.7,40.7,40.7,2000.0
00625K,00625K 富邦上証+R,2017-01-03,5.93,5.93,5.93,5.93,100000.0
00631L,00631L 元大台灣50正2,2017-01-03,25.0,25.09,24.91,25.06,2357080.0
00632R,00632R 元大台灣50反1,2017-01-03,16.11,16.14,16.06,16.08,15704200.0
00633L,00633L 富邦上証正2,2017-01-03,32.99,33.92,32.95,33.67,44699300.0
00634R,00634R 富邦上証反1,2017-01-03,9.5,9.55,9.37,9.39,1313000.0
00635U,00635U 期元大S&P黃金,2017-01-03,18.64,18.72,18.6,18.7,4205000.0
00636,00636 國泰中國A50,2017-01-03,16.21,16.48,16.15,16.4,1149000.0
00637L,00637L 元大滬深300正2,2017-01-03,12.25,12.63,12.25,12.52,85482400.0
00638R,00638R 元大滬深300反1,2017-01-03,18.42,18.42,18.22,18.22,231002.0
00639,00639 富邦深100,2017-01-03,9.35,9.51,9.35,9.46,5287000.0
00640L,00640L 富邦日本正2,2017-01-03,17.99,18.07,17.91,18.07,838000.0
00641R,00641R 富邦日本反1,2017-01-03,17.87,17.91,17.77,17.77,514000.0
00642U,00642U 期元大S&P石油,2017-01-03,19.95,20.01,19.95,19.95,3571410.0
00643,00643 群益深証中小,2017-01-03,13.8,13.96,13.8,13.89,1699200.0
00643K,00643K 群益深証中小+R,2017-01-03,2.96,2.96,2.96,2.96,100000.0
00645,00645 富邦日本,2017-01-03,19.34,19.34,19.27,19.28,81000.0
00646,00646 元大S&P500,2017-01-03,21.6,21.63,21.54,21.56,156000.0
00647L,00647L 元大S&P500正2,2017-01-03,23.45,23.49,23.45,23.46,20000.0
00648R,00648R 元大S&P500反1,2017-01-03,17.39,17.47,17.39,17.42,1410000.0
00650L,00650L FH香港正2,2017-01-03,19.37,19.7,19.21,19.7,807000.0
00651R,00651R FH香港反1,2017-01-03,12.33,12.33,12.1,12.1,76000.0
00652,00652 富邦印度,2017-01-03,19.52,19.59,19.48,19.58,367000.0
00653L,00653L 富邦印度正2,2017-01-03,19.83,20.0,19.81,19.97,2550250.0
00654R,00654R 富邦印度反1,2017-01-03,18.93,18.94,18.85,18.86,35000.0
00655L,00655L 國泰中國A50正2,2017-01-03,22.9,23.58,22.87,23.4,2314000.0
00656R,00656R 國泰中國A50反1,2017-01-03,17.49,17.49,17.32,17.39,156000.0
00657,00657 國泰日經225,2017-01-03,23.15,23.16,23.11,23.16,591000.0
00660,00660 元大歐洲50,2017-01-03,22.42,22.45,22.41,22.45,33000.0
00661,00661 元大日經225,2017-01-03,0.0,0.0,0.0,0.0,0.0
00662,00662 富邦NASDAQ,2017-01-03,21.77,21.77,21.65,21.65,297000.0
00663L,00663L 國泰臺灣加權正2,2017-01-03,23.11,23.22,23.02,23.18,1720000.0
00664R,00664R 國泰臺灣加權反1,2017-01-03,18.2,18.24,18.17,18.17,3478000.0
00665L,00665L 富邦恒生國企正2,2017-01-03,21.3,21.67,21.01,21.64,2638000.0
00666R,00666R 富邦恒生國企反1,2017-01-03,18.7,18.75,18.66,18.66,103000.0
00668,00668 國泰美國道瓊,2017-01-03,22.15,22.15,21.96,22.1,883000.0
00669R,00669R 國泰美國道瓊反1,2017-01-03,18.15,18.16,18.1,18.1,903000.0
00673R,00673R 期元大S&P原油反1,2017-01-03,18.8,18.9,18.8,18.82,2631000.0
00674R,00674R 期元大S&P黃金反1,2017-01-03,21.86,21.86,21.78,21.8,492000.0
00675L,00675L 富邦臺灣加權正2,2017-01-03,10.02,10.07,9.98,10.05,5134000.0
00676R,00676R 富邦臺灣加權反1,2017-01-03,9.86,9.88,9.84,9.85,10175000.0
01001T,01001T 土銀富邦R1,2017-01-03,15.1,15.1,15.1,15.1,10000.0
01002T,01002T 土銀國泰R1,2017-01-03,16.18,16.19,16.05,16.15,110000.0
01003T,01003T 兆豐新光R1,2017-01-03,14.08,14.08,13.95,14.0,40000.0
01004T,01004T 土銀富邦R2,2017-01-03,13.39,13.4,13.3,13.34,110000.0
01007T,01007T 兆豐國泰R2,2017-01-03,14.76,14.76,14.76,14.76,6000.0
1101,1101 台泥,2017-01-03,35.45,35.45,34.8,35.15,2890980.0
1102,1102 亞泥,2017-01-03,26.45,26.5,26.3,26.5,1271790.0
1103,1103 嘉泥,2017-01-03,8.71,8.71,8.61,8.71,278853.0
1104,1104 環泥,2017-01-03,24.5,24.65,24.45,24.6,150691.0
1108,1108 幸福,2017-01-03,9.13,9.15,9.13,9.15,20000.0
1109,1109 信大,2017-01-03,10.0,10.0,10.0,10.0,4200.0
1110,1110 東泥,2017-01-03,15.8,15.85,15.75,15.75,25700.0
1201,1201 味全,2017-01-03,17.55,17.7,17.55,17.65,653627.0
1203,1203 味王,2017-01-03,23.4,23.4,22.8,22.8,7479.0
1210,1210 大成,2017-01-03,29.2,29.5,29.1,29.15,2213850.0
1213,1213 大飲,2017-01-03,16.6,16.8,16.6,16.8,19200.0
1215,1215 卜蜂,2017-01-03,45.0,46.6,45.0,46.25,2947060.0
1216,1216 統一,2017-01-03,53.4,53.6,53.2,53.3,2757440.0
1217,1217 愛之味,2017-01-03,7.4,7.4,7.32,7.33,420652.0
1218,1218 泰山,2017-01-03,14.9,15.0,14.9,14.95,330863.0
1219,1219 福壽,2017-01-03,15.7,15.8,15.7,15.8,208577.0
1220,1220 台榮,2017-01-03,10.95,10.95,10.7,10.8,269134.0
1225,1225 福懋油,2017-01-03,47.65,48.3,47.65,48.1,22349.0
1227,1227 佳格,2017-01-03,76.0,76.5,76.0,76.2,145084.0
1229,1229 聯華,2017-01-03,22.05,22.15,22.0,22.1,525061.0
1231,1231 聯華食,2017-01-03,31.15,31.7,31.15,31.65,249456.0
1232,1232 大統益,2017-01-03,84.5,84.5,84.1,84.3,17396.0
1233,1233 天仁,2017-01-03,36.7,36.9,36.7,36.7,5400.0
1234,1234 黑松,2017-01-03,32.3,32.3,32.05,32.1,101525.0
1235,1235 興泰,2017-01-03,29.4,29.55,29.4,29.45,36200.0
1236,1236 宏亞,2017-01-03,18.35,18.4,18.25,18.3,29100.0
1256,1256 鮮活果汁-KY,2017-01-03,122.5,122.5,122.0,122.5,17000.0
1301,1301 台塑,2017-01-03,88.6,90.2,88.4,90.1,4769480.0
1303,1303 南亞,2017-01-03,71.6,71.6,70.8,71.2,4513030.0
1304,1304 台聚,2017-01-03,16.0,16.1,15.85,16.1,2131000.0
1305,1305 華夏,2017-01-03,23.9,24.1,23.8,23.9,1290440.0
1307,1307 三芳,2017-01-03,35.5,35.5,35.2,35.2,89313.0
1308,1308 亞聚,2017-01-03,19.1,19.15,19.0,19.15,499233.0
1309,1309 台達化,2017-01-03,10.55,10.6,10.25,10.45,1057790.0
1310,1310 台苯,2017-01-03,19.95,19.95,19.65,19.75,3123360.0
1312,1312 國喬,2017-01-03,21.15,21.15,20.8,20.8,4378490.0
1312A,1312A 國喬特,2017-01-03,25.85,26.0,25.85,26.0,23000.0
1313,1313 聯成,2017-01-03,12.5,12.7,12.4,12.65,1769240.0
1314,1314 中石化,2017-01-03,9.99,10.2,9.95,10.05,15464900.0
1315,1315 達新,2017-01-03,24.9,25.1,24.9,25.1,11004.0
1316,1316 上曜,2017-01-03,10.9,11.0,10.7,10.95,214065.0
1319,1319 東陽,2017-01-03,63.7,63.9,62.9,63.0,1720850.0
