ID,stockNum,stockName,date,investmentCompany,filename,recommend
1,3443,創意,2022_10_28,統一投顧,3443-創意-2022_10_28-統一投顧-強力買進.pdf,強力買進
2,3711,日月光,2022_10_28,統一投顧,3711-日月光-2022_10_28-統一投顧-中立.pdf,中立
3,8454,富邦媒,2022_10_28,統一投顧,8454-富邦媒-2022_10_28-統一投顧-中立.pdf,中立
4,8938,明安,2022_10_26,統一投顧,8938-明安-2022_10_26-統一投顧-買進.pdf,買進
5,3035,智原,2022_10_26,統一投顧,3035-智原-2022_10_26-統一投顧-買進.pdf,買進
6,3680,家登,2022_10_21,統一投顧,3680-家登-2022_10_21-統一投顧-買進.pdf,買進
7,2301,光寶科,2022_10_21,統一投顧,2301-光寶科-2022_10_21-統一投顧-買進.pdf,買進
8,1796,金穎生技,2022_10_19,統一投顧,1796-金穎生技-2022_10_19-統一投顧-買進.pdf,買進
9,2472,立隆電,2022_10_19,統一投顧,2472-立隆電-2022_10_19-統一投顧-中立.pdf,中立
10,5388,中磊,2022_08_08,統一投顧,5388-中磊-2022_08_08-統一投顧-買進.pdf,買進
11,4961,天鈺,2022_08_08,統一投顧,4961-天鈺-2022_08_08-統一投顧-買進.pdf,買進
12,3034,聯詠,2022_08_08,統一投顧,3034-聯詠-2022_08_08-統一投顧-中立.pdf,中立
13,2603,長榮,2022_08_08,統一投顧,2603-長榮-2022_08_08-統一投顧-中立.pdf,中立
14,8215,明基材,2022_08_08,統一投顧,8215-明基材-2022_08_08-統一投顧-中立.pdf,中立
15,2892,第一金,2022_06_01,統一投顧,2892-第一金-2022_06_01-統一投顧-中立.pdf,中立
16,5309,系統電,2022_06_01,統一投顧,5309-系統電-2022_06_01-統一投顧-買進.pdf,買進
17,6698,旭暉,2022_06_28,統一投顧,6698-旭暉-2022_06_28-統一投顧-買進.pdf,買進
18,4943,康控-KY,2018_03_29,統一投顧,4943_康控-KY_2018-03-29_統一投顧_統一投顧-陳佑任-【投資速報】康控-KY (4943.TT，中立) 2018年有望受惠新產品推升營運，惟評價已合理.pdf,NULL
19,2395,研華,2018_03_16,國票,2395_研華_2018-03-16_國票_2395研華03082018.pdf,NULL
20,3346,麗清,2018_03_12,第一金,3346_麗清_2018-03-12_第一金_麗清(3346)-區間操作.pdf,NULL
21,2729,瓦城,2018_03_16,NULL,2729_瓦城_2018-03-16__2729瓦城20180314.pdf,NULL
22,2376,技嘉,2018_03_12,台新投顧,2376_技嘉_2018-03-12_台新投顧_台新投顧20180312個股報告-技嘉(2376).pdf,NULL
23,6166,凌華,2018_03_12,第一金,6166_凌華_2018-03-12_第一金_凌華(6166)-買進.pdf,NULL
24,1589,永冠-KY,2018_03_12,統一投顧,1589_永冠-KY_2018-03-12_統一投顧_統一投顧-張榮森-【投資速報】永冠-KY (1589.TT，中立) 營運仍處低潮，靜待2H18回歸成長軌道.pdf,NULL
25,4746,台耀,2018_03_12,元大,4746_台耀_2018-03-12_元大_Formosa_Laboratories_4746_TT_-_Yuanta_CVN180309-C-YCMC.pdf,NULL
26,1476,儒鴻,2018_03_12,元大,1476_儒鴻_2018-03-12_元大_Eclat_1476_TT_-_Yuanta_CVN180309-C-YCMC.pdf,NULL
27,6166,凌華,2018_03_12,元富,6166_凌華_2018-03-12_元富_6166凌華20180312-報告.pdf,NULL
28,8155,博智,2018_03_29,統一投顧,8155_博智_2018-03-29_統一投顧_統一投顧-廖婉婷-【投資速報】博智 (8155.TT，買進) 4Q17財報驚艷，2018年高階產品持續挹注業績.pdf,NULL
29,4938,和碩,2018_03_16,元大,4938_和碩_2018-03-16_元大_Pegatron_4938_TT_-_Yuanta_CVN180315-C-YCMC.pdf,NULL
30,2357,華碩,2018_03_16,台新投顧,2357_華碩_2018-03-16_台新投顧_台新投顧20180301新聞評析-華碩(2357)-華碩推新手機 拚逆轉勝.pdf,NULL
31,4137,麗豐-KY,2018_03_12,第一金,4137_麗豐-KY_2018-03-12_第一金_麗豐-KY(4137)-買進.pdf,NULL
32,8454,富邦媒,2018_03_16,中信投顧,8454_富邦媒_2018-03-16_中信投顧_中信個股報告-20180307_8454富邦媒.pdf,NULL
33,8406,金可-KY,2018_03_12,富邦台灣,8406_金可-KY_2018-03-12_富邦台灣_8406_金可-KY_snapshot_c_030818.pdf,NULL
34,4938,和碩,2018_03_16,元大,4938_和碩_2018-03-16_元大_Pegatron_4938_TT_-_Yuanta_CVN171218-C-YCMC.pdf,NULL
35,2731,雄獅,2018_03_29,國票,2731_雄獅_2018-03-29_國票_2731雄獅03292018.pdf,NULL
36,1707,葡萄王,2018_03_12,富邦台灣,1707_葡萄王_2018-03-12_富邦台灣_1707_葡萄王_snapshot_c_030918.pdf,NULL
37,2727,王品,2018_03_16,NULL,2727_王品_2018-03-16__2727王品20180313.pdf,NULL
38,2395,研華,2018_03_12,第一金,2395_研華_2018-03-12_第一金_研華(2395)-區間操作.pdf,NULL
39,2327,國巨,2018_03_12,第一金,2327_國巨_2018-03-12_第一金_國巨(2327)-買進.pdf,NULL
40,2308,台達電,2018_03_12,中信投顧,2308_台達電_2018-03-12_中信投顧_中信個股報告-20180312_2308台達電.pdf,NULL
41,2308,台達電,2018_03_12,第一金,2308_台達電_2018-03-12_第一金_台達電(2308)-區間操作.pdf,NULL
42,2882,國泰金,2018_03_16,台新投顧,2882_國泰金_2018-03-16_台新投顧_台新投顧20180312新聞評析-國泰金(2882)-國泰金獲利金控第一.pdf,NULL
43,1905,華紙,2018_03_29,國票,1905_華紙_2018-03-29_國票_1905華紙03292018.pdf,NULL
44,6435,大中,2018_03_29,國票,6435_大中_2018-03-29_國票_6435大中03292018.pdf,NULL
45,1582,信錦,2018_03_16,國票,1582_信錦_2018-03-16_國票_1582信錦02272018.pdf,NULL
46,3708,上緯,2018_03_12,台新投顧,3708_上緯_2018-03-12_台新投顧_台新投顧20180312新聞評析-上緯(3708)-上緯 全年營運有望成長20％.pdf,NULL
47,2027,大成鋼,2018_03_12,國票,2027_大成鋼_2018-03-12_國票_2027大成鋼03122018.pdf,NULL
48,8415,大國鋼,2018_03_16,國票,8415_大國鋼_2018-03-16_國票_8415大國鋼03142018.pdf,NULL
49,3665,貿聯-KY,2018_03_12,第一金,3665_貿聯-KY_2018-03-12_第一金_貿聯-KY(3665)-買進.pdf,NULL
50,2449,京元電子,2018_03_12,第一金,2449_京元電子_2018-03-12_第一金_京元電子(2449)-買進.pdf,NULL
51,4968,立積,2018_03_16,國票,4968_立積_2018-03-16_國票_4968立積03052018.pdf,NULL
52,6525,捷敏-KY,2018_04_10,第一金,6525_捷敏-KY_2018-04-10_第一金_捷敏-KY(6525)-中立.pdf,NULL
53,2882,國泰金,2018_04_10,統一投顧,2882_國泰金_2018-04-10_統一投顧_統一投顧-陳晏平-【投資速報】國泰金 (2882.TT，買進) 壽險投資利差、銀行淨利差皆顯著改善.pdf,NULL
54,3005,神基,2018_04_10,富邦台灣,3005_神基_2018-04-10_富邦台灣_3005_神基_snapshot_c_040318.pdf,NULL
55,2880,華南金,2018_04_10,統一投顧,2880_華南金_2018-04-10_統一投顧_統一投顧-陳晏平-【投資速報】華南金 (2880.TT，中立) 18年獲利可望回升，惟現金殖利率僅3.pdf,NULL
56,2208,台船,2018_04_10,元富,2208_台船_2018-04-10_元富_2208台船20180410-報告.pdf,NULL
57,5534,長虹,2018_04_10,NULL,5534_長虹_2018-04-10__5534長虹20180402 - 「新世紀」交屋在即，獲利噴出 ； 現金殖利率7.2% ； 2018年EPS 19元 ； 買進.pdf,NULL
58,2618,長榮航,2018_04_10,統一投顧,2618_長榮航_2018-04-10_統一投顧_統一投顧-張榮森-【投資速報】長榮航 (2618.TT，中立) 4Q17財報不如預期，油價強勢壓縮2018年獲利.pdf,NULL
59,5255,美桀,2018_04_10,第一金,5255_美桀_2018-04-10_第一金_美桀(5255)-中立.pdf,NULL
60,3552,同致,2018_04_10,國票,3552_同致_2018-04-10_國票_3552同致03312018.pdf,NULL
61,1476,儒鴻,2018_04_10,第一金,1476_儒鴻_2018-04-10_第一金_儒鴻(1476)-買進.pdf,NULL
62,2886,兆豐金,2018_04_10,兆豐,2886_兆豐金_2018-04-10_兆豐_中信個股報告-20180410_2886兆豐金.pdf,NULL
63,2883,開發金,2018_04_10,台新投顧,2883_開發金_2018-04-10_台新投顧_台新投顧20180410新聞評析-開發金(2883)-開發金獲利靚 Q1大增77%.pdf,NULL
64,3691,碩禾,2018_04_10,第一金,3691_碩禾_2018-04-10_第一金_碩禾(3691)_中立.pdf,NULL
65,2030,彰源,2018_04_10,第一金,2030_彰源_2018-04-10_第一金_彰源(2030)-區間操作.pdf,NULL
66,3346,麗清,2018_04_10,元大,3346_麗清_2018-04-10_元大_Laster_Tech_Corp_3346_TT_-_Yuanta_CVN180402-C-YCMC.pdf,NULL
67,6277,宏正,2018_04_10,國票,6277_宏正_2018-04-10_國票_6277宏正04102018.pdf,NULL
68,8446,華研,2018_04_11,統一投顧,8446_華研_2018-04-11_統一投顧_統一投顧-王寧毅-【投資速報】華研 (8446.TT，買進) 4Q17財報優於預期，18年授權收入成長值得期待.pdf,NULL
69,8446,華研,2018_03_20,統一投顧,8446_華研_2018-03-20_統一投顧_統一投顧-王寧毅-【投資速報】華研 (8446.TT，買進) 4Q17財報優於預期，18年授權收入成長值得期待.pdf,NULL
70,8446,華研,2018_03_06,統一投顧,8446_華研_2018-03-06_統一投顧_統一投顧- 王寧毅-【訪談報告】華研(8446.TT，買進) 與中國第四大數位平台合作，授權收入可望大幅成長.pdf,NULL
71,5263,智崴,2018_03_20,統一投顧,5263_智崴_2018-03-20_統一投顧_統一投顧-葉修劼-【訪談報告】智崴(5263.TT，買進) 訂單能見度高，改善簽約過度集中現象.pdf,NULL
72,3264,欣銓,2018_03_12,統一投顧,3264_欣銓_2018-03-12_統一投顧_統一投顧-鄭高輯-【投資速報】欣銓(3264.TT，買進) 掌握關鍵客戶及技術，受惠IDM外包及車用IOT趨勢.pdf,NULL
73,3552,同致,2018_04_02,國票,3552_同致_2018-04-02_國票_3552同致03312018.pdf,NULL
74,4958,臻鼎-KY,2018_03_19,統一投顧,4958_臻鼎-KY_2018-03-19_統一投顧_統一投顧-廖婉婷-【投資速報】臻鼎-KY (4958.TT，買進) 4Q17獲利優於預期，營運榮景再現.pdf,NULL
75,6541,泰福-KY,2018_03_14,統一投顧,6541_泰福-KY_2018-03-14_統一投顧_統一投顧-張立群-【初次報告】泰福-KY(6541.TT，買進) 台灣惟一掌握美國藥品銷售關鍵的生物相似藥廠.pdf,NULL
