ID,stockNum,stockName,date,filename,inputTime,username
1,9911,櫻花,2018_05_30,9911_櫻花_2018-05-30_2:22:45_PM.txt,2:22:45_PM,popowing
2,9914,美利達,2018_05_30,9914_美利達_2018-05-30_2:23:12_PM.txt,2:23:12_PM,popowing
3,3346,麗清,2018_05_30,3346_麗清_2018-05-30_2:23:26_PM.txt,2:23:26_PM,popowing
4,2603,長榮,2018_05_30,2603_長榮_2018-05-30_2:24:05_PM.txt,2:24:05_PM,popowing
5,8462,柏文,2018_05_30,8462_柏文_2018-05-30_2:24:14_PM.txt,2:24:14_PM,popowing
6,2472,立隆電,2018_06_01,2472_立隆電_2018-06-01_10:02:28_AM.txt,10:02:28_AM,popowing
7,1256,鮮活果汁-KY,2018_06_01,1256_鮮活果汁-KY_2018-06-01_10:02:48_AM.txt,10:02:48_AM,popowing
8,2349,錸德,2018_06_02,2349_錸德_2018-06-02_下午5:22:40.txt,下午5:22:40,c21221203
9,1256,鮮活果汁-KY,2018_06_02,1256_鮮活果汁-KY_2018-06-02_下午6:51:43.txt,下午6:51:43,c21221203
10,2472,立隆電,2018_06_02,2472_立隆電_2018-06-02_下午6:52:10.txt,下午6:52:10,c21221203
11,2015,豐興,2018_06_02,2015_豐興_2018-06-02_下午6:52:37.txt,下午6:52:37,c21221203
12,1314,中石化,2018_06_02,1314_中石化_2018-06-02_下午6:52:58.txt,下午6:52:58,c21221203
13,8926,台汽電,2018_06_02,8926_台汽電_2018-06-02_下午6:54:27.txt,下午6:54:27,c21221203
14,2204,中華,2018_06_02,2204_中華_2018-06-02_下午6:54:45.txt,下午6:54:45,c21221203
15,1525,江申,2018_06_02,1525_江申_2018-06-02_下午6:55:02.txt,下午6:55:02,c21221203
16,2227,裕日車,2018_06_02,2227_裕日車_2018-06-02_下午6:55:16.txt,下午6:55:16,c21221203
17,2201,裕隆,2018_06_02,2201_裕隆_2018-06-02_下午6:55:31.txt,下午6:55:31,c21221203
18,3221,台嘉碩,2018_06_02,3221_台嘉碩_2018-06-02_下午6:55:44.txt,下午6:55:44,c21221203
19,3221,台嘉碩,2018_06_02,3221_台嘉碩_2018-06-02_下午6:55:59.txt,下午6:55:59,c21221203
20,5299,杰力,2018_06_02,5299_杰力_2018-06-02_下午6:56:19.txt,下午6:56:19,c21221203
21,1455,集盛,2018_06_02,1455_集盛_2018-06-02_下午6:56:37.txt,下午6:56:37,c21221203
22,4966,譜瑞-KY,2018_06_02,4966_譜瑞-KY_2018-06-02_下午6:56:53.txt,下午6:56:53,c21221203
23,8222,寶一,2018_06_02,8222_寶一_2018-06-02_下午6:57:07.txt,下午6:57:07,c21221203
24,6206,飛捷,2018_06_02,6206_飛捷_2018-06-02_下午6:57:20.txt,下午6:57:20,c21221203
25,2456,奇力新,2018_06_02,2456_奇力新_2018-06-02_下午6:57:34.txt,下午6:57:34,c21221203
26,2492,華新科,2018_06_02,2492_華新科_2018-06-02_下午6:57:47.txt,下午6:57:47,c21221203
