股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
9911.0,櫻花,2018_05_30,/home/cosbi/桌面/financialData/lineMemo_data/9911_櫻花_2018-05-30_2:22:45 PM.txt,2:22:45 PM,popowing
9914.0,美利達,2018_05_30,/home/cosbi/桌面/financialData/lineMemo_data/9914_美利達_2018-05-30_2:23:12 PM.txt,2:23:12 PM,popowing
3346.0,麗清,2018_05_30,/home/cosbi/桌面/financialData/lineMemo_data/3346_麗清_2018-05-30_2:23:26 PM.txt,2:23:26 PM,popowing
2603.0,長榮,2018_05_30,/home/cosbi/桌面/financialData/lineMemo_data/2603_長榮_2018-05-30_2:24:05 PM.txt,2:24:05 PM,popowing
8462.0,柏文,2018_05_30,/home/cosbi/桌面/financialData/lineMemo_data/8462_柏文_2018-05-30_2:24:14 PM.txt,2:24:14 PM,popowing
2472.0,立隆電,2018_06_01,/home/cosbi/桌面/financialData/lineMemo_data/2472_立隆電_2018-06-01_10:02:28 AM.txt,10:02:28 AM,popowing
1256.0,鮮活果汁-KY,2018_06_01,/home/cosbi/桌面/financialData/lineMemo_data/1256_鮮活果汁-KY_2018-06-01_10:02:48 AM.txt,10:02:48 AM,popowing
2349.0,錸德,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2349_錸德_2018-06-02_下午5:22:40.txt,下午5:22:40,c21221203
1256.0,鮮活果汁-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1256_鮮活果汁-KY_2018-06-02_下午6:51:43.txt,下午6:51:43,c21221203
2472.0,立隆電,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2472_立隆電_2018-06-02_下午6:52:10.txt,下午6:52:10,c21221203
2015.0,豐興,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2015_豐興_2018-06-02_下午6:52:37.txt,下午6:52:37,c21221203
1314.0,中石化,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1314_中石化_2018-06-02_下午6:52:58.txt,下午6:52:58,c21221203
8926.0,台汽電,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/8926_台汽電_2018-06-02_下午6:54:27.txt,下午6:54:27,c21221203
2204.0,中華,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2204_中華_2018-06-02_下午6:54:45.txt,下午6:54:45,c21221203
1525.0,江申,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1525_江申_2018-06-02_下午6:55:02.txt,下午6:55:02,c21221203
