Number,Name,Investment company,Date,File path,Recommend
4943,康控-KY,統一投顧,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/4943/4943_康控-KY_2018-03-29_統一投顧_統一投顧-陳佑任-【投資速報】康控-KY (4943.TT，中立) 2018年有望受惠新產品推升營運，惟評價已合理.pdf,NULL
2395,研華,國票,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/2395/2395_研華_2018-03-16_國票_2395研華03082018.pdf,NULL
3346,麗清,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/3346/3346_麗清_2018-03-12_第一金_麗清(3346)-區間操作.pdf,NULL
2729,瓦城,NULL,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/2729/2729_瓦城_2018-03-16__2729瓦城20180314.pdf,NULL
2376,技嘉,台新投顧,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2376/2376_技嘉_2018-03-12_台新投顧_台新投顧20180312個股報告-技嘉(2376).pdf,NULL
6166,凌華,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/6166/6166_凌華_2018-03-12_第一金_凌華(6166)-買進.pdf,NULL
1589,永冠-KY,統一投顧,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/1589/1589_永冠-KY_2018-03-12_統一投顧_統一投顧-張榮森-【投資速報】永冠-KY (1589.TT，中立) 營運仍處低潮，靜待2H18回歸成長軌道.pdf,NULL
4746,台耀,元大,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/4746/4746_台耀_2018-03-12_元大_Formosa_Laboratories_4746_TT_-_Yuanta_CVN180309-C-YCMC.pdf,NULL
1476,儒鴻,元大,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/1476/1476_儒鴻_2018-03-12_元大_Eclat_1476_TT_-_Yuanta_CVN180309-C-YCMC.pdf,NULL
6166,凌華,元富,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/6166/6166_凌華_2018-03-12_元富_6166凌華20180312-報告.pdf,NULL
8155,博智,統一投顧,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/8155/8155_博智_2018-03-29_統一投顧_統一投顧-廖婉婷-【投資速報】博智 (8155.TT，買進) 4Q17財報驚艷，2018年高階產品持續挹注業績.pdf,NULL
4938,和碩,元大,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/4938/4938_和碩_2018-03-16_元大_Pegatron_4938_TT_-_Yuanta_CVN180315-C-YCMC.pdf,NULL
2357,華碩,台新投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/2357/2357_華碩_2018-03-16_台新投顧_台新投顧20180301新聞評析-華碩(2357)-華碩推新手機 拚逆轉勝.pdf,NULL
4137,麗豐-KY,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/4137/4137_麗豐-KY_2018-03-12_第一金_麗豐-KY(4137)-買進.pdf,NULL
8454,富邦媒,中信投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/8454/8454_富邦媒_2018-03-16_中信投顧_中信個股報告-20180307_8454富邦媒.pdf,NULL
8406,金可-KY,富邦台灣,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/8406/8406_金可-KY_2018-03-12_富邦台灣_8406_金可-KY_snapshot_c_030818.pdf,NULL
4938,和碩,元大,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/4938/4938_和碩_2018-03-16_元大_Pegatron_4938_TT_-_Yuanta_CVN171218-C-YCMC.pdf,NULL
2731,雄獅,國票,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/2731/2731_雄獅_2018-03-29_國票_2731雄獅03292018.pdf,NULL
1707,葡萄王,富邦台灣,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/1707/1707_葡萄王_2018-03-12_富邦台灣_1707_葡萄王_snapshot_c_030918.pdf,NULL
2727,王品,NULL,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/2727/2727_王品_2018-03-16__2727王品20180313.pdf,NULL
2395,研華,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2395/2395_研華_2018-03-12_第一金_研華(2395)-區間操作.pdf,NULL
2327,國巨,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2327/2327_國巨_2018-03-12_第一金_國巨(2327)-買進.pdf,NULL
2308,台達電,中信投顧,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2308/2308_台達電_2018-03-12_中信投顧_中信個股報告-20180312_2308台達電.pdf,NULL
2308,台達電,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2308/2308_台達電_2018-03-12_第一金_台達電(2308)-區間操作.pdf,NULL
2882,國泰金,台新投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/2882/2882_國泰金_2018-03-16_台新投顧_台新投顧20180312新聞評析-國泰金(2882)-國泰金獲利金控第一.pdf,NULL
1905,華紙,國票,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/1905/1905_華紙_2018-03-29_國票_1905華紙03292018.pdf,NULL
6435,大中,國票,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/6435/6435_大中_2018-03-29_國票_6435大中03292018.pdf,NULL
1582,信錦,國票,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/1582/1582_信錦_2018-03-16_國票_1582信錦02272018.pdf,NULL
3708,上緯,台新投顧,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/3708/3708_上緯_2018-03-12_台新投顧_台新投顧20180312新聞評析-上緯(3708)-上緯 全年營運有望成長20％.pdf,NULL
2027,大成鋼,國票,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2027/2027_大成鋼_2018-03-12_國票_2027大成鋼03122018.pdf,NULL
8415,大國鋼,國票,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/8415/8415_大國鋼_2018-03-16_國票_8415大國鋼03142018.pdf,NULL
3665,貿聯-KY,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/3665/3665_貿聯-KY_2018-03-12_第一金_貿聯-KY(3665)-買進.pdf,NULL
2449,京元電子,第一金,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/2449/2449_京元電子_2018-03-12_第一金_京元電子(2449)-買進.pdf,NULL
4968,立積,國票,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/4968/4968_立積_2018-03-16_國票_4968立積03052018.pdf,NULL
6525,捷敏-KY,第一金,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/6525/6525_捷敏-KY_2018-04-10_第一金_捷敏-KY(6525)-中立.pdf,NULL
2882,國泰金,統一投顧,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2882/2882_國泰金_2018-04-10_統一投顧_統一投顧-陳晏平-【投資速報】國泰金 (2882.TT，買進) 壽險投資利差、銀行淨利差皆顯著改善.pdf,NULL
3005,神基,富邦台灣,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/3005/3005_神基_2018-04-10_富邦台灣_3005_神基_snapshot_c_040318.pdf,NULL
2880,華南金,統一投顧,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2880/2880_華南金_2018-04-10_統一投顧_統一投顧-陳晏平-【投資速報】華南金 (2880.TT，中立) 18年獲利可望回升，惟現金殖利率僅3.pdf,NULL
2208,台船,元富,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2208/2208_台船_2018-04-10_元富_2208台船20180410-報告.pdf,NULL
5534,長虹,NULL,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/5534/5534_長虹_2018-04-10__5534長虹20180402 - 「新世紀」交屋在即，獲利噴出 ； 現金殖利率7.2% ； 2018年EPS 19元 ； 買進.pdf,NULL
2618,長榮航,統一投顧,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2618/2618_長榮航_2018-04-10_統一投顧_統一投顧-張榮森-【投資速報】長榮航 (2618.TT，中立) 4Q17財報不如預期，油價強勢壓縮2018年獲利.pdf,NULL
5255,美桀,第一金,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/5255/5255_美桀_2018-04-10_第一金_美桀(5255)-中立.pdf,NULL
3552,同致,國票,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/3552/3552_同致_2018-04-10_國票_3552同致03312018.pdf,NULL
1476,儒鴻,第一金,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/1476/1476_儒鴻_2018-04-10_第一金_儒鴻(1476)-買進.pdf,NULL
2886,兆豐金,兆豐,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2886/2886_兆豐金_2018-04-10_兆豐_中信個股報告-20180410_2886兆豐金.pdf,NULL
2883,開發金,台新投顧,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2883/2883_開發金_2018-04-10_台新投顧_台新投顧20180410新聞評析-開發金(2883)-開發金獲利靚 Q1大增77%.pdf,NULL
3691,碩禾,第一金,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/3691/3691_碩禾_2018-04-10_第一金_碩禾(3691)_中立.pdf,NULL
2030,彰源,第一金,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/2030/2030_彰源_2018-04-10_第一金_彰源(2030)-區間操作.pdf,NULL
3346,麗清,元大,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/3346/3346_麗清_2018-04-10_元大_Laster_Tech_Corp_3346_TT_-_Yuanta_CVN180402-C-YCMC.pdf,NULL
6277,宏正,國票,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/6277/6277_宏正_2018-04-10_國票_6277宏正04102018.pdf,NULL
8446,華研,統一投顧,2018_04_11,/home/cosbi/桌面/financialData/gmailData/data/8446/8446_華研_2018-04-11_統一投顧_統一投顧-王寧毅-【投資速報】華研 (8446.TT，買進) 4Q17財報優於預期，18年授權收入成長值得期待.pdf,NULL
8446,華研,統一投顧,2018_03_20,/home/cosbi/桌面/financialData/gmailData/data/8446/8446_華研_2018-03-20_統一投顧_統一投顧-王寧毅-【投資速報】華研 (8446.TT，買進) 4Q17財報優於預期，18年授權收入成長值得期待.pdf,NULL
